Country,Industry,Gas Type,Year,Emissions
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,746.6664872
Africa,Construction,Greenhouse gas,2010,14.969387
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,426.0598798
Africa,Manufacturing,Greenhouse gas,2010,354.664695
Africa,Mining,Greenhouse gas,2010,535.5901641
Africa,Other Services Industries,Greenhouse gas,2010,33.08978825
Africa,Total Households,Greenhouse gas,2010,245.9346057
Africa,Total Industry and Households,Greenhouse gas,2010,2711.403263
Africa,Transportation and Storage,Greenhouse gas,2010,203.0916652
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,151.3365911
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,3079.353009
Asia,Construction,Greenhouse gas,2010,379.682036
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,6605.720707
Asia,Manufacturing,Greenhouse gas,2010,6215.866922
Asia,Mining,Greenhouse gas,2010,2322.091418
Asia,Other Services Industries,Greenhouse gas,2010,420.6946865
Asia,Total Households,Greenhouse gas,2010,1695.83556
Asia,Total Industry and Households,Greenhouse gas,2010,23065.66302
Asia,Transportation and Storage,Greenhouse gas,2010,1602.704419
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,743.7142607
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,730.7775574
Europe,Construction,Greenhouse gas,2010,73.03000612
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,2366.867387
Europe,Manufacturing,Greenhouse gas,2010,1504.692515
Europe,Mining,Greenhouse gas,2010,352.8786434
Europe,Other Services Industries,Greenhouse gas,2010,387.436992
Europe,Total Households,Greenhouse gas,2010,1284.053605
Europe,Total Industry and Households,Greenhouse gas,2010,7779.188344
Europe,Transportation and Storage,Greenhouse gas,2010,776.7357907
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,302.715848
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,665.4459063
Northern America,Construction,Greenhouse gas,2010,131.3137908
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,2457.800726
Northern America,Manufacturing,Greenhouse gas,2010,1069.792091
Northern America,Mining,Greenhouse gas,2010,491.0283096
Northern America,Other Services Industries,Greenhouse gas,2010,1000.015042
Northern America,Total Households,Greenhouse gas,2010,1331.773015
Northern America,Total Industry and Households,Greenhouse gas,2010,8042.254929
Northern America,Transportation and Storage,Greenhouse gas,2010,847.4256064
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,47.66044147
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,119.6083081
Oceania,Construction,Greenhouse gas,2010,3.062038816
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,216.6313675
Oceania,Manufacturing,Greenhouse gas,2010,70.8426863
Oceania,Mining,Greenhouse gas,2010,54.67068228
Oceania,Other Services Industries,Greenhouse gas,2010,10.54297348
Oceania,Total Households,Greenhouse gas,2010,64.59390413
Oceania,Total Industry and Households,Greenhouse gas,2010,635.1336126
Oceania,Transportation and Storage,Greenhouse gas,2010,78.06231081
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,17.11934113
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,759.2237998
Africa,Construction,Greenhouse gas,2011,14.91376415
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,425.0097008
Africa,Manufacturing,Greenhouse gas,2011,350.4684788
Africa,Mining,Greenhouse gas,2011,512.5150957
Africa,Other Services Industries,Greenhouse gas,2011,34.58594438
Africa,Total Households,Greenhouse gas,2011,255.9502846
Africa,Total Industry and Households,Greenhouse gas,2011,2718.22729
Africa,Transportation and Storage,Greenhouse gas,2011,209.0207022
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,156.5395196
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,3119.930523
Asia,Construction,Greenhouse gas,2011,398.892241
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,7268.613492
Asia,Manufacturing,Greenhouse gas,2011,6586.976215
Asia,Mining,Greenhouse gas,2011,2504.621313
Asia,Other Services Industries,Greenhouse gas,2011,414.5791777
Asia,Total Households,Greenhouse gas,2011,1768.037321
Asia,Total Industry and Households,Greenhouse gas,2011,24517.48683
Asia,Transportation and Storage,Greenhouse gas,2011,1681.993141
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,773.8434054
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,737.7808184
Europe,Construction,Greenhouse gas,2011,75.16401477
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,2364.26244
Europe,Manufacturing,Greenhouse gas,2011,1505.342424
Europe,Mining,Greenhouse gas,2011,350.5332716
Europe,Other Services Industries,Greenhouse gas,2011,372.5863868
Europe,Total Households,Greenhouse gas,2011,1218.981264
Europe,Total Industry and Households,Greenhouse gas,2011,7709.655683
Europe,Transportation and Storage,Greenhouse gas,2011,786.2539797
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,298.7510835
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,656.6527571
Northern America,Construction,Greenhouse gas,2011,120.0170664
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,2345.512175
Northern America,Manufacturing,Greenhouse gas,2011,1102.991314
Northern America,Mining,Greenhouse gas,2011,489.0223414
Northern America,Other Services Industries,Greenhouse gas,2011,970.962406
Northern America,Total Households,Greenhouse gas,2011,1247.046893
Northern America,Total Industry and Households,Greenhouse gas,2011,7828.567492
Northern America,Transportation and Storage,Greenhouse gas,2011,849.289549
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,47.07298943
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,124.8080224
Oceania,Construction,Greenhouse gas,2011,3.125454247
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,210.1255731
Oceania,Manufacturing,Greenhouse gas,2011,71.05703417
Oceania,Mining,Greenhouse gas,2011,54.41663089
Oceania,Other Services Industries,Greenhouse gas,2011,11.06389595
Oceania,Total Households,Greenhouse gas,2011,65.38804285
Oceania,Total Industry and Households,Greenhouse gas,2011,637.5849112
Oceania,Transportation and Storage,Greenhouse gas,2011,80.82507271
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,16.77518484
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2012,783.9547221
Africa,Construction,Greenhouse gas,2012,14.84018515
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2012,446.9927123
Africa,Manufacturing,Greenhouse gas,2012,364.6417309
Africa,Mining,Greenhouse gas,2012,543.1391788
Africa,Other Services Industries,Greenhouse gas,2012,37.6226853
Africa,Total Households,Greenhouse gas,2012,275.7422369
Africa,Total Industry and Households,Greenhouse gas,2012,2853.91026
Africa,Transportation and Storage,Greenhouse gas,2012,222.671626
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2012,164.3051828
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2012,3122.388257
Asia,Construction,Greenhouse gas,2012,401.8528577
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2012,7641.260288
Asia,Manufacturing,Greenhouse gas,2012,6738.085153
Asia,Mining,Greenhouse gas,2012,2528.824634
Asia,Other Services Industries,Greenhouse gas,2012,416.6506502
Asia,Total Households,Greenhouse gas,2012,1853.222861
Asia,Total Industry and Households,Greenhouse gas,2012,25255.99131
Asia,Transportation and Storage,Greenhouse gas,2012,1760.836645
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2012,792.8699599
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2012,725.9368022
Europe,Construction,Greenhouse gas,2012,73.87673275
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2012,2373.568859
Europe,Manufacturing,Greenhouse gas,2012,1490.048031
Europe,Mining,Greenhouse gas,2012,352.8504697
Europe,Other Services Industries,Greenhouse gas,2012,372.5236788
Europe,Total Households,Greenhouse gas,2012,1218.053016
Europe,Total Industry and Households,Greenhouse gas,2012,7663.484493
Europe,Transportation and Storage,Greenhouse gas,2012,758.8221933
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2012,297.8047106
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2012,654.5300284
Northern America,Construction,Greenhouse gas,2012,126.4982062
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2012,2203.825637
Northern America,Manufacturing,Greenhouse gas,2012,1100.230198
Northern America,Mining,Greenhouse gas,2012,492.0893704
Northern America,Other Services Industries,Greenhouse gas,2012,874.6953928
Northern America,Total Households,Greenhouse gas,2012,1103.112607
Northern America,Total Industry and Households,Greenhouse gas,2012,7443.520128
Northern America,Transportation and Storage,Greenhouse gas,2012,841.4481718
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2012,47.09051632
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2012,127.5411022
Oceania,Construction,Greenhouse gas,2012,3.119967592
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2012,211.9036206
Oceania,Manufacturing,Greenhouse gas,2012,68.67144748
Oceania,Mining,Greenhouse gas,2012,56.12591993
Oceania,Other Services Industries,Greenhouse gas,2012,11.39652544
Oceania,Total Households,Greenhouse gas,2012,65.87886135
Oceania,Total Industry and Households,Greenhouse gas,2012,641.6778767
Oceania,Transportation and Storage,Greenhouse gas,2012,81.41717231
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2012,15.62325973
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2013,800.4054204
Africa,Construction,Greenhouse gas,2013,15.77951799
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2013,457.4453534
Africa,Manufacturing,Greenhouse gas,2013,369.5084746
Africa,Mining,Greenhouse gas,2013,522.6475093
Africa,Other Services Industries,Greenhouse gas,2013,38.17622583
Africa,Total Households,Greenhouse gas,2013,290.96263
Africa,Total Industry and Households,Greenhouse gas,2013,2900.743152
Africa,Transportation and Storage,Greenhouse gas,2013,236.62832
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2013,169.189701
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2013,3144.042878
Asia,Construction,Greenhouse gas,2013,403.47593
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2013,7976.674018
Asia,Manufacturing,Greenhouse gas,2013,6920.001845
Asia,Mining,Greenhouse gas,2013,2526.378466
Asia,Other Services Industries,Greenhouse gas,2013,437.263138
Asia,Total Households,Greenhouse gas,2013,1899.032908
Asia,Total Industry and Households,Greenhouse gas,2013,25949.47868
Asia,Transportation and Storage,Greenhouse gas,2013,1826.193094
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2013,816.4163978
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2013,737.0066574
Europe,Construction,Greenhouse gas,2013,73.29660523
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2013,2226.018236
Europe,Manufacturing,Greenhouse gas,2013,1472.945247
Europe,Mining,Greenhouse gas,2013,338.2666684
Europe,Other Services Industries,Greenhouse gas,2013,362.5130483
Europe,Total Households,Greenhouse gas,2013,1232.037964
Europe,Total Industry and Households,Greenhouse gas,2013,7479.949256
Europe,Transportation and Storage,Greenhouse gas,2013,745.2333756
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2013,292.6314539
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2013,699.0215945
Northern America,Construction,Greenhouse gas,2013,128.5021965
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2013,2217.399912
Northern America,Manufacturing,Greenhouse gas,2013,1137.519887
Northern America,Mining,Greenhouse gas,2013,508.1194174
Northern America,Other Services Industries,Greenhouse gas,2013,914.476792
Northern America,Total Households,Greenhouse gas,2013,1147.574629
Northern America,Total Industry and Households,Greenhouse gas,2013,7644.977614
Northern America,Transportation and Storage,Greenhouse gas,2013,844.4530714
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2013,47.91011463
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2013,127.9596977
Oceania,Construction,Greenhouse gas,2013,3.115222668
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2013,200.4363525
Oceania,Manufacturing,Greenhouse gas,2013,67.61903166
Oceania,Mining,Greenhouse gas,2013,58.69026374
Oceania,Other Services Industries,Greenhouse gas,2013,11.78695842
Oceania,Total Households,Greenhouse gas,2013,64.94740776
Oceania,Total Industry and Households,Greenhouse gas,2013,630.7296074
Oceania,Transportation and Storage,Greenhouse gas,2013,81.38300975
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2013,14.79166313
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2014,815.1420687
Africa,Construction,Greenhouse gas,2014,16.03844946
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2014,485.9919102
Africa,Manufacturing,Greenhouse gas,2014,379.3542751
Africa,Mining,Greenhouse gas,2014,518.5512328
Africa,Other Services Industries,Greenhouse gas,2014,38.73343058
Africa,Total Households,Greenhouse gas,2014,300.3475525
Africa,Total Industry and Households,Greenhouse gas,2014,2973.709389
Africa,Transportation and Storage,Greenhouse gas,2014,245.6610062
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2014,173.8894638
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2014,3123.515817
Asia,Construction,Greenhouse gas,2014,409.3439834
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2014,8190.727236
Asia,Manufacturing,Greenhouse gas,2014,7090.380097
Asia,Mining,Greenhouse gas,2014,2560.783318
Asia,Other Services Industries,Greenhouse gas,2014,442.5299306
Asia,Total Households,Greenhouse gas,2014,1935.159834
Asia,Total Industry and Households,Greenhouse gas,2014,26488.36905
Asia,Transportation and Storage,Greenhouse gas,2014,1897.20777
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2014,838.7210654
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2014,746.9155177
Europe,Construction,Greenhouse gas,2014,71.68335636
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2014,2103.790669
Europe,Manufacturing,Greenhouse gas,2014,1435.733168
Europe,Mining,Greenhouse gas,2014,333.7090105
Europe,Other Services Industries,Greenhouse gas,2014,336.7996802
Europe,Total Households,Greenhouse gas,2014,1174.111013
Europe,Total Industry and Households,Greenhouse gas,2014,7235.029891
Europe,Transportation and Storage,Greenhouse gas,2014,744.4964808
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2014,287.7909948
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2014,703.9127757
Northern America,Construction,Greenhouse gas,2014,116.6766134
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2014,2213.297505
Northern America,Manufacturing,Greenhouse gas,2014,1142.462285
Northern America,Mining,Greenhouse gas,2014,504.0470844
Northern America,Other Services Industries,Greenhouse gas,2014,933.5968579
Northern America,Total Households,Greenhouse gas,2014,1179.110663
Northern America,Total Industry and Households,Greenhouse gas,2014,7693.658786
Northern America,Transportation and Storage,Greenhouse gas,2014,852.8722488
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2014,47.68275306
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2014,128.414608
Oceania,Construction,Greenhouse gas,2014,3.190610528
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2014,195.1007639
Oceania,Manufacturing,Greenhouse gas,2014,66.94375841
Oceania,Mining,Greenhouse gas,2014,58.78655755
Oceania,Other Services Industries,Greenhouse gas,2014,12.62406467
Oceania,Total Households,Greenhouse gas,2014,65.17938389
Oceania,Total Industry and Households,Greenhouse gas,2014,627.9319352
Oceania,Transportation and Storage,Greenhouse gas,2014,82.81195382
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2014,14.8802344
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,830.342939
Africa,Construction,Greenhouse gas,2015,15.63048183
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,482.6612446
Africa,Manufacturing,Greenhouse gas,2015,381.0275394
Africa,Mining,Greenhouse gas,2015,518.5885906
Africa,Other Services Industries,Greenhouse gas,2015,38.540281
Africa,Total Households,Greenhouse gas,2015,302.1556563
Africa,Total Industry and Households,Greenhouse gas,2015,2997.08024
Africa,Transportation and Storage,Greenhouse gas,2015,249.4650897
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,178.668418
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,3156.061579
Asia,Construction,Greenhouse gas,2015,402.7632637
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,8084.429541
Asia,Manufacturing,Greenhouse gas,2015,6988.727299
Asia,Mining,Greenhouse gas,2015,2538.835257
Asia,Other Services Industries,Greenhouse gas,2015,467.6571069
Asia,Total Households,Greenhouse gas,2015,1985.107558
Asia,Total Industry and Households,Greenhouse gas,2015,26460.88422
Asia,Transportation and Storage,Greenhouse gas,2015,1975.176678
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,862.1259326
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,745.1889557
Europe,Construction,Greenhouse gas,2015,73.71594033
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,2031.499638
Europe,Manufacturing,Greenhouse gas,2015,1426.060826
Europe,Mining,Greenhouse gas,2015,329.7710777
Europe,Other Services Industries,Greenhouse gas,2015,341.6884472
Europe,Total Households,Greenhouse gas,2015,1212.840463
Europe,Total Industry and Households,Greenhouse gas,2015,7234.257706
Europe,Transportation and Storage,Greenhouse gas,2015,785.6368567
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,287.8555013
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,710.8125374
Northern America,Construction,Greenhouse gas,2015,111.983209
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,2078.026799
Northern America,Manufacturing,Greenhouse gas,2015,1119.683896
Northern America,Mining,Greenhouse gas,2015,505.712813
Northern America,Other Services Industries,Greenhouse gas,2015,950.0987009
Northern America,Total Households,Greenhouse gas,2015,1149.906962
Northern America,Total Industry and Households,Greenhouse gas,2015,7531.269007
Northern America,Transportation and Storage,Greenhouse gas,2015,857.2970436
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,47.74704609
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,125.337625
Oceania,Construction,Greenhouse gas,2015,3.501218334
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,203.0872259
Oceania,Manufacturing,Greenhouse gas,2015,62.70778648
Oceania,Mining,Greenhouse gas,2015,63.46060931
Oceania,Other Services Industries,Greenhouse gas,2015,13.04355805
Oceania,Total Households,Greenhouse gas,2015,67.7896369
Oceania,Total Industry and Households,Greenhouse gas,2015,637.8394539
Oceania,Transportation and Storage,Greenhouse gas,2015,84.38754467
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,14.52424922
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,857.0290479
Africa,Construction,Greenhouse gas,2016,15.84105325
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,482.3878066
Africa,Manufacturing,Greenhouse gas,2016,398.3521804
Africa,Mining,Greenhouse gas,2016,496.6467011
Africa,Other Services Industries,Greenhouse gas,2016,37.5571145
Africa,Total Households,Greenhouse gas,2016,308.2311399
Africa,Total Industry and Households,Greenhouse gas,2016,3036.473007
Africa,Transportation and Storage,Greenhouse gas,2016,257.0890679
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,183.3388952
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,3166.617272
Asia,Construction,Greenhouse gas,2016,391.0023287
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,8294.824312
Asia,Manufacturing,Greenhouse gas,2016,6968.33148
Asia,Mining,Greenhouse gas,2016,2536.941165
Asia,Other Services Industries,Greenhouse gas,2016,471.8844875
Asia,Total Households,Greenhouse gas,2016,2028.912905
Asia,Total Industry and Households,Greenhouse gas,2016,26768.48318
Asia,Transportation and Storage,Greenhouse gas,2016,2028.880381
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,881.0888442
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,754.1149367
Europe,Construction,Greenhouse gas,2016,76.33081952
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,1989.950455
Europe,Manufacturing,Greenhouse gas,2016,1429.626333
Europe,Mining,Greenhouse gas,2016,335.3884876
Europe,Other Services Industries,Greenhouse gas,2016,343.551301
Europe,Total Households,Greenhouse gas,2016,1227.242486
Europe,Total Industry and Households,Greenhouse gas,2016,7226.351104
Europe,Transportation and Storage,Greenhouse gas,2016,780.9574389
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,289.1888463
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,699.9427024
Northern America,Construction,Greenhouse gas,2016,110.8371828
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,1979.987643
Northern America,Manufacturing,Greenhouse gas,2016,1100.620077
Northern America,Mining,Greenhouse gas,2016,458.0240027
Northern America,Other Services Industries,Greenhouse gas,2016,943.6412114
Northern America,Total Households,Greenhouse gas,2016,1136.333843
Northern America,Total Industry and Households,Greenhouse gas,2016,7347.389091
Northern America,Transportation and Storage,Greenhouse gas,2016,870.0413338
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,47.9610961
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,124.0747232
Oceania,Construction,Greenhouse gas,2016,3.742515259
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,209.6489555
Oceania,Manufacturing,Greenhouse gas,2016,60.3258163
Oceania,Mining,Greenhouse gas,2016,66.85756238
Oceania,Other Services Industries,Greenhouse gas,2016,13.60386153
Oceania,Total Households,Greenhouse gas,2016,68.67039414
Oceania,Total Industry and Households,Greenhouse gas,2016,647.6718359
Oceania,Transportation and Storage,Greenhouse gas,2016,85.67117218
